player_id,source,rank,weight
124,PFN,100,0.9
124,TANKATHON,108,0.9
125,PFF,237,1.2
125,PFN,38,0.9
125,TANKATHON,100,0.9
126,PFN,106,0.9
127,PFF,131,1.2
127,NFL Draft Buzz,114,0.9
128,PFF,180,1.2
128,NFL Draft Buzz,116,0.9
128,TANKATHON,132,0.9
128,Charlie Campbell,50,1
129,PFF,120,1.2
129,NFL Draft Buzz,72,0.9
129,PFN,148,0.9
129,TANKATHON,121,0.9
130,PFF,187,1.2
130,NFL Draft Buzz,115,0.9
130,PFN,147,0.9
130,TANKATHON,99,0.9
130,Charlie Campbell,42,1
131,PFF,138,1.2
131,NFL Draft Buzz,113,0.9
132,PFF,104,1.2
132,NFL Draft Buzz,123,0.9
132,PFN,124,0.9
133,PFF,129,1.2
133,NFL Draft Buzz,108,0.9
133,PFN,134,0.9
133,TANKATHON,97,0.9
134,PFF,111,1.2
134,PFN,138,0.9
135,PFF,179,1.2
135,NFL Draft Buzz,119,0.9
135,PFN,70,0.9
135,TANKATHON,120,0.9
136,PFF,125,1.2
136,NFL Draft Buzz,102,0.9
136,PFN,139,0.9
136,TANKATHON,134,0.9
136,Mel Kiper,121,1.1
136,Field Yates,141,1
136,Matt Miller,141,1
136,Daniel Jeremiah,114,1.1
136,Charlie Campbell,99,1
137,NFL Draft Buzz,112,0.9
138,NFL Draft Buzz,135,0.9
138,PFN,90,0.9
139,PFF,119,1.2
139,NFL Draft Buzz,124,0.9
139,TANKATHON,125,0.9
140,TANKATHON,113,0.9
141,PFF,119,1.2
141,NFL Draft Buzz,124,0.9
141,PFN,147,0.9
141,TANKATHON,110,0.9
141,Mel Kiper,115,1.1
141,Field Yates,143,1
141,Matt Miller,108,1
141,Daniel Jeremiah,147,1.1
141,Charlie Campbell,141,1
142,PFF,126,1.2
142,NFL Draft Buzz,105,0.9
142,PFN,150,0.9
142,TANKATHON,112,0.9
143,PFF,158,1.2
143,NFL Draft Buzz,92,0.9
143,TANKATHON,136,0.9
144,PFF,175,1.2
144,NFL Draft Buzz,128,0.9
144,PFN,93,0.9
144,TANKATHON,110,0.9
145,PFN,117,0.9
146,PFF,160,1.2
146,PFN,171,0.9
146,TANKATHON,127,0.9
146,Charlie Campbell,58,1
147,PFF,176,1.2
147,PFN,97,0.9
147,TANKATHON,124,0.9
148,PFF,111,1.2
148,NFL Draft Buzz,152,0.9
148,PFN,146,0.9
148,TANKATHON,139,0.9
148,Mel Kiper,120,1.1
148,Field Yates,124,1
148,Matt Miller,123,1
148,Daniel Jeremiah,147,1.1
148,Charlie Campbell,117,1
149,PFF,140,1.2
149,NFL Draft Buzz,118,0.9
149,TANKATHON,134,0.9
150,PFF,159,1.2
151,PFF,156,1.2
151,NFL Draft Buzz,122,0.9
152,PFN,121,0.9
153,PFN,122,0.9
154,PFF,123,1.2
154,NFL Draft Buzz,122,0.9
154,PFN,165,0.9
154,TANKATHON,156,0.9
154,Mel Kiper,116,1.1
154,Field Yates,125,1
154,Matt Miller,167,1
154,Daniel Jeremiah,119,1.1
154,Charlie Campbell,128,1
155,PFF,164,1.2
156,PFN,123,0.9
157,PFF,157,1.2
157,TANKATHON,129,0.9
