Rank,Player Name,Position,College,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
120,Zane Durant,DL,Penn State,Senior,6'1,294,4.66,200,131,111,128,,,,,,,
154,Landon Robinson,DL,Navy,Senior,6'0,287,,270,,, ,,,,,,,
178,Rayshaun Benny,DL,Michigan,Senior,6'4,305,4.9,205,143,, ,,,,,,,
388,Gary Smith,DL,UCLA,Senior,6'2,340,,263,,99,,,,,,,,
514,Tyler Onyedim,DL,,,,,,,,135,,,,,,,,
389,Cameron Ball,DL,Arkansas,Senior,6'5,323,,273,,146,,,,,,,,
519,Nick Barrett,DL,,,,,,,,154,,,,,,,,
521,Rayshaun Benny,DL,,,,,,,,163,,,,,,,,
523,Deven Eastern,DL,,,,,,,,168,,,,,,,,
41,Lee Hunter,DL,Texas Tech,Senior,6'4,325,5.2,53,60,,,,,,,,,
142,Bryson Eason,DL,Tennessee,Senior,6'3,310,5.1,,,,,,,,,,,
183,Cole Brevard,DL,Texas,Senior,6'3,346,,159,,,,,,,,,,
195,Keanu Tanuvasa,DL,BYU,,,,,,,,,,,,,,,
197,Aaron Graves,DL,Iowa,,,,,,125,,,,,,,,,
385,David Oke,DL,Arkansas,Senior,6'2,314,,138,113,,,,,,,,,
386,Keshawn Silver,DL,USC,Senior,6'4,330,,247,276,,,,,,,,,
387,Brandon Cleveland,DL,North Carolina,Senior,6'4,315,,256,,,,,,,,,,
390,Damonic Williams,DL,Oklahoma,Senior,6'1,323,,299,,,,,,,,,,
392,Deven Eastern,DL,Minnesota ,Senior,6'6,320,,335,,,,,,,,,,
393,Jacobian Guillory,DL,LSU,Graduated,6'2,318,,371,,,,,,,,,,
427,Devin Hobbs,DL,,,,,,,172,,,,,,,,,
436,Jordan Hall,DL,,,,,,,198,,,,,,,,,
440,Damari Lyons,DL,,,,,,,206,,,,,,,,,
448,Makis Deal,DL,,,,,,,221,,,,,,,,,
458,Keyon Ware-Hudson,DL,,,,,,,235,,,,,,,,,
461,Gabriel Rubio,DL,,,,,,,240,,,,,,,,,
469,Damon Payne,DL,,,,,,,257,,,,,,,,,
470,Clayton Smith,DL,,,,,,,258,,,,,,,,,
473,Johnathan Jefferson,DL,,,,,,,263,,,,,,,,,
476,Reggie Grimes II,DL,,,,,,,269,,,,,,,,,
490,Kevin Gilliam Jr.,DL,,,,,,,296,,,,,,,,,
491,Elliot Donald,DL,,,,,,,297,,,,,,,,,
494,Tywone Malone Jr.,DL,,,,,,,300,,,,,,,,,
502,Darnell Jeffries,DL,,,,,,,317,,,,,,,,,
483,Khordae Sydnor,DL/ED,,,,,,,284,,,,,,,,,
35,L.T. Overton,EDGE,Alabama,Senior,6'5,278,4.85,52,40,42,34,,,27,,,,
362,Jaishawn Barham,EDGE,Michigan,Senior,6'3,243,,103,,,,,,28,,,,
52,Joshua Josephs,EDGE,Tennessee,Senior,6'3,240,4.68,63,24,58,54,,,30,,,,
108,Anthony Lucas,EDGE,USC,Senior,6'5,285,4.85,69,76,68,81,,,,,,,
94,Malachi Lawrence,EDGE,UCF,Senior,6'4,250,4.78,149,111,46,105,,,,,,,
129,Mikail Kamara,EDGE,Indiana,Senior,6'1,265,4.8,99,93,,106,,,,,,,
88,Caden Curry,EDGE,Ohio State,Senior,6'3,260,4.78,349,88,113,116,,,,,,,
158,Trey Moore,EDGE,Texas,Senior,6'3,249,4.6,,,,131,,,,,,,
122,Max Llewellyn,EDGE,Iowa,Senior,6'5,263,,173,,,133,,,,,,,
117,Keyron Crawford,EDGE,Auburn,Senior,6'4,255,,300,,84,,,,,,,,
508,Jaheim Lawson,EDGE,,,,,,,,94,,,,,,,,
379,Ethan Burke,EDGE,Texas,Senior,6'6,259,,359,,104,,,,,,,,
366,Vincent Anthony Jr,EDGE,Duke,Senior,6'6,260,,196,139,131,,,,,,,,
363,Nadame Tucker,EDGE,Western Michigan,Senior,6'3,250,,152,,137,,,,,,,,
515,Jordan van den Berg,EDGE,,,,,,,,141,,,,,,,,
193,Jack Pyburn,EDGE,LSU,Senior,6'4,264,,281,,182,,,,,,,,
128,Patrick Payton,EDGE,LSU,Senior,6'6,255,,214,162,,,,,,,,,
138,Michael Kilbane,EDGE,Northwestern,,,,,,,,,,,,,,,
149,Dominic Bailey,EDGE,Tennessee,,,,,,,,,,,,,,,
167,Roy Williams,EDGE,Northern Illinois,Senior,6'6,257,,372,,,,,,,,,,
174,Jackson Kuwatch,EDGE,Miami (OH),,,,,,,,,,,,,,,
199,Teitum Tuioti,EDGE,Oregon,,,,,,,,,,,,,,,
364,George Gumbs Jr,EDGE,Florida,Senior,6'4,250,,164,,,,,,,,,,
365,TJ Guy,EDGE,Michigan,Graduated,6'4,250,,189,,,,,,,,,,
367,Eric O'Neil,EDGE,Rutgers,Senior,6'3,261,,220,169,,,,,,,,,
368,Logan Fano,EDGE,Utah,Junior,6'5,260,,221,,,,,,,,,,
369,Ben Bell,EDGE,Virginia Tech,Senior,6'1,235,,252,,,,,,,,,,
370,Jackie Marshall,EDGE,Baylor,Senior,6'3,306,,291,,,,,,,,,,
371,Tre Smith,EDGE,Arizona,Senior,6'5,262,,292,,,,,,,,,,
372,Dean Miller,EDGE,Kansas,Senior,6'5,240,,309,,,,,,,,,,
373,Mo Westmoreland,EDGE,Tulane,Senior,6'2,250,,316,,,,,,,,,,
374,Jimmori Robinson ,EDGE,West Virginia ,Senior,6'4,250,,323,,,,,,,,,,
375,Marvin Jones Jr,EDGE,Oklahoma,Senior,6'5,262,,329,,,,,,,,,,
376,Aiden Hubbard,EDGE,Northwestern ,Graduated,6'4,255,,336,,,,,,,,,,
377,Da'Shawn Womack,EDGE,Auburn,,6'5,265,,346,,,,,,,,,,
378,Will Whitson,EDGE,Mississippi State,Graduated,6'5,295,,348,,,,,,,,,,
380,Miles Capers,EDGE,Vanderbilt,Graduated,6'4,249,,378,,,,,,,,,,
381,Nyjalik Kelly,EDGE,UCF,Senior,6'5,250,,382,,,,,,,,,,
382,Trey White,EDGE,Texas Tech,,6'2,255,,387,,,,,,,,,,
383,Corey Walker,EDGE,Wisconsin ,Senior,6'5,290,,390,,,,,,,,,,
384,Kam Olds,EDGE,Kentucky ,Senior,6'4,252,,404,,,,,,,,,,
435,Dasan McCullough,EDGE,,,,,,,194,,,,,,,,,
443,Kamran Jones,EDGE,,,,,,,213,,,,,,,,,
454,Keaton Wade,EDGE,,,,,,,229,,,,,,,,,
456,Korey Foreman,EDGE,,,,,,,232,,,,,,,,,
460,Dylan Brooks,EDGE,,,,,,,239,,,,,,,,,
492,Cade Denhoff,EDGE,,,,,,,298,,,,,,,,,
499,Bryce Carter,EDGE,,,,,,,310,,,,,,,,,
411,Drew Stevens,K,Iowa,Senior,6'1,205,,413,,,,,,,,,,
412,Will Ferrin,K,BYU,Senior,6'3,175,,414,,,,,,,,,,
413,Trey Smack,K,Florida,,,,,,,,,,,,,,,
414,Dominic Zvada,K,Michigan,Senior,6'3,187,,415,189,,,,,,,,,
415,Peyton Woodring,K,Georgia,,,,,,,,,,,,,,,
416,Nicolas Radicic,K,Indiana,,,,,,,,,,,,,,,
417,Brock Taylor,K,Vanderbilt,,,,,,,,,,,,,,,
418,Conor Talty,K,Alabama,,,,,,,,,,,,,,,
419,Kansei Matsuzawa,K,Hawaii,,,,,,,,,,,,,,,
420,Robert Gunn,K,Clemson,,,,,,,,,,,,,,,
421,Alex McPherson,K,Auburn,,,,,,,,,,,,,,,
422,Will Bettridge,K,Virginia,,,,,,,,,,,,,,,
423,John Love,K,Virginia Tech,,,,,,,,,,,,,,,
51,Jake Golday,LB,Cincinnati,Senior,6'4,240,4.55,37,67,50,44,,,37,,,,
61,Josiah Trotter,LB,Missouri,Sophomore,6'2,237,4.61,62,55,,53,,,,,,,
92,Taurean York,LB,Texas A&M,Junior,5'10,227,4.58,82,62,64,69,,,,,,,
