id,rank,name,pos,school,tier,consensusRank,sourceCount,grade,isGenerational,fantasyMultiplier,draftScore,fantasyRank
263,263,Barion Brown,WR,LSU,5,200,4,0,false,1.4,0,263
264,264,Hykeem Williams,WR,Colorado,5,200,1,0,false,1.4,0,264
265,265,Trey Smack,K,Florida,5,200,1,0,true,0.4,0,265
266,266,Luke Altmyer,QB,Illinois,5,200.3,4,0,false,1.6,0,266
267,267,Preston Hodge,CB,Colorado,5,200.4,3,0,false,0.25,0,267
268,268,Dijon Johnson,CB,Florida,5,201.1,1,0,false,0.25,0,268
269,269,Damari Brown,CB,Miami,5,201.2,2,0,false,0.25,0,269
270,270,Michael Wortham,WR,Montana,5,202.3,2,0,false,1.4,0,270
271,271,Will Kacmerek,TE,Ohio Stare,5,203.2,2,0,false,1.2,0,271
272,272,DJ Rogers,TE,TCU,5,203.3,2,0,false,1.2,0,272
273,273,Isaiah Nwokobia,S,SMU,5,203.7,2,0,false,0.35,0,273
274,274,Collin Wright,CB,Stanford,5,203.8,2,0,false,0.25,0,274
275,275,Kansei Matsuzawa,K,Hawaii,5,204,1,0,false,0.4,0,275
276,276,Daniel Harris,CB,California,5,204.2,1,0,false,0.25,0,276
277,277,Ethan Conner,CB,Miami,5,204.4,1,0,false,0.25,0,277
278,278,Devonta Smith,CB,Norte Dame,5,204.7,3,0,false,0.25,0,278
279,279,Rene Kings,DL,Louisville,5,206,1,0,false,0.35,0,279
280,280,Shamar Easter,TE,North Carolina,5,206.7,1,0,false,1.2,0,280
281,281,Athan Kaliakmanis,QB,Rutgers,5,207.4,3,0,false,1.6,0,281
282,282,Jack Pyburn,EDGE,LSU,5,207.8,3,0,false,0.5,0,282
283,283,Jacobe Johnson,CB,Oklahoma,5,207.8,1,0,false,0.25,0,283
284,284,Jack Velling,TE,Michigan State,5,207.9,2,0,false,1.2,0,284
285,285,London Humphrey,WR,Georgia,5,208.9,1,0,false,1.4,0,285
286,286,Colby Young,WR,Georgia,5,209.2,3,0,false,1.4,0,286
287,287,Jaren Kanak,TE,Oklahoma,5,209.7,3,0,false,1.2,0,287
288,288,Jalen Catalonia,S,Missouri,5,209.9,3,0,false,0.35,0,288
289,289,Landon Robinson,DL,Navy,5,210.5,2,0,false,0.35,0,289
290,290,Tory Grimes,CB,Purdue,5,211.1,1,0,false,0.25,0,290
291,291,Deven Eastern,DL,Minnesota,5,211.6,2,0,false,0.35,0,291
292,292,Jaylon Braxton,S,Ole Miss,5,213.3,1,0,false,0.35,0,292
293,293,Trebor Pena,WR,Penn State,5,213.8,3,0,false,1.4,0,293
294,294,Jamal Haynes,RB,Georgia Tech,5,214,3,0,false,1.4,0,294
295,295,Caden Fordham,EDGE,North Carolina State,5,215,1,0,false,0.5,0,295
296,296,Eric Gentry,LB,USC,5,215,3,0,false,0.4,0,296
297,297,Kyron Jones,QB,Virginia Tech,5,215.1,2,0,false,1.6,0,297
298,298,Robert Henry,RB,UTSA,5,215.4,2,0,false,1.4,0,298
299,299,Dean Conners,RB,Houston,5,215.6,2,0,false,1.4,0,299
300,300,Caulin Lacy,WR,Louisville,5,215.7,4,0,false,1.4,0,300
301,301,Kolby Taylor,CB,Vanderbilt,5,216,1,0,false,0.25,0,301
302,302,Deuce Chester,S,Syracuse,5,216.7,2,0,false,0.35,0,302
303,303,Trey Holly,RB,Southern U,5,217.8,1,0,false,1.4,0,303
304,304,Khalil Saunders,DL,Kentucky,5,218,1,0,false,0.35,0,304
305,305,Charles Demmings,CB,Stephen F. Austin,5,218.7,3,0,false,0.25,0,305
306,306,Rueben Owens II,RB,Texas A&M,5,218.9,1,0,false,1.4,0,306
307,307,Seydou Traore,TE,Mississippi State,5,219.9,2,0,false,1.2,0,307
308,308,Jordan Hall,DL,Georgia,5,220,1,0,false,0.35,0,308
309,309,Nick Anderson,S,Wake Forrest,5,220,1,0,false,0.35,0,309
310,310,Tyreek Chappell,CB,Texas A&M,5,220.8,2,0,false,0.25,0,310
311,311,Jalil Farooq,WR,Maryland,5,221.1,1,0,false,1.4,0,311
